country,overview_document,app_data_file,extracted_on,status,notes
Netherlands,data/Netherlands/Overview Netherlands.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Denmark,data/Denmark/Overview Denmark.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Finland,data/Finland/Overview Finland.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Norway,data/Norway/Overview Norway.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Sweden,data/Sweden/Overview Sweden.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Belgium,data/Belgium/Overview Belgium.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
France,data/France/Overview France.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Ireland,data/Ireland/Overview Ireland.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Portugal,data/Portugal/Overview Portugal.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Spain,data/Spain/Overview Spain.docx,data/countries.js,2026-04-16,Extracted,"Existing overview app entry recorded to complete the overview extraction log."
Austria,data/Austria/Overview Austria.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Belarus,data/Belarus/Overview Belarus.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Croatia,data/Croatia/Overview Croatia.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Estonia,data/Estonia/Overview Estonia.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Germany,data/Germany/Overview Germany.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Greece,data/Greece/Overview Greece.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Hungary,data/Hungary/Overview Hungary.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Italy,data/Italy/Overview Italy.docx,data/countries.js,2026-04-16,Extracted,"DOCX readability check now passes; converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Poland,data/Poland/Overview Poland.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Switzerland,data/Switzerland/Overview Switzerland.docx,data/countries.js,2026-04-16,Extracted,"Converted placeholder entry into systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Czechia,data/Czechia/Overview Czechia.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Latvia,data/Latvia/Overview Latvia.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Lithuania,data/Lithuania/Overview Lithuania.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Luxembourg,data/Luxembourg/Overview Luxembourg.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Moldova,data/Moldova/Overview Moldova.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Slovakia,data/Slovakia/Overview Slovakia.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Slovenia,data/Slovenia/Overview Slovenia.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Ukraine,data/Ukraine/Overview Ukraine.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Bosnia and Herzegovina,data/Bosnia and Herzegovina/Overview Bosnia and Herzegovina.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Bulgaria,data/Bulgaria/Overview Bulgaria.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Cyprus,data/Cyprus/Overview Cyprus.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Iceland,data/Iceland/Overview Iceland.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Kosovo,data/Kosovo/Overview Kosovo.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Montenegro,data/Montenegro/Overview Montenegro.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
North Macedonia,data/North Macedonia/Overview North Macedonia.docx,data/countries.js,2026-04-17,Extracted,"Renamed source file to overview convention and added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Russia,data/Russia/Overview Russia.docx,data/countries.js,2026-04-17,Extracted,"Renamed source file to overview convention and added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Serbia,data/Serbia/Overview Serbia.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Turkey,data/Turkey/Overview Turkey.docx,data/countries.js,2026-04-17,Extracted,"Added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
Romania,data/Romania/Overview Romania.docx,data/countries.js,2026-04-17,Extracted,"Restored DOCX was readable; added new app entry with systemType, summary, keyActors, documentLabels, dataSignals, and nextFocus."
United Kingdom,data/United Kingdom/Overview United Kingdom.docx,data/countries.js,2026-04-23,Extracted,"New overview document reviewed and reconciled into the deep dossier; added devolved assurance, charitable funder, four-nation institutional annual-statement, health cross-border and animal-research boundary details."
